Player,Position,TeamId,DateOfBirth,Height,Weight,College,YearsPlayed
Tre'Davious White,DB,4,1/16/1995,71,192,LSU,9
Wande Owens,DB,4,3/26/2001,71,205,New Hampshire; Yale,0
Zy Alexander,DB,4,,,,,
A.J. Epenesa,DL,4,9/15/1998,78,260,Iowa,6
Andre Jones Jr.,DL,4,10/25/1998,77,258,Louisiana-Lafayette,2
DaQuan Jones,DL,4,12/27/1991,76,320,Penn State,12
DeWayne Carter,DL,4,12/10/2000,74,305,Duke,2
Deone Walker,DL,4,3/11/2004,79,331,Kentucky,0
Ed Oliver,DL,4,12/12/1997,73,287,Houston,7
Greg Rousseau,DL,4,4/5/2000,78,266,Miami,5
Javon Solomon,DL,4,1/17/2001,73,246,Troy,2
Joey Bosa,DL,4,7/11/1995,77,280,Ohio State,10
Jordan Phillips,DL,4,9/21/1992,78,330,Oklahoma,11
Landon Jackson,DL,4,1/2/2003,78,264,Arkansas; LSU,0
Larry Ogunjobi,DL,4,6/3/1994,75,305,Charlotte,9
Morgan Fox,DL,4,9/12/1994,75,275,Colorado State (Pueblo),9
Nelson Ceaser,DL,4,,,,,
Paris Shand,DL,4,,,,,
Phidarian Mathis,DL,4,4/26/1998,76,312,Alabama,4
Shaq Lawson,DL,4,6/17/1994,75,265,Clemson,9
T.J. Sanders,DL,4,7/30/2003,76,297,South Carolina,0
Zion Logue,DL,4,7/13/2001,78,325,Georgia,1
Matt Prater,K,4,8/10/1984,70,201,UCF,19
Tyler Bass,K,4,2/14/1997,70,183,Georgia Southern,6
Baylon Spector,LB,4,10/20/1998,72,233,Clemson,4
Dorian Williams,LB,4,6/28/2001,73,230,Tulane,3
Joe Andreessen,LB,4,2/7/2000,72,232,Buffalo,2
Keonta Jenkins,LB,4,1/26/2002,74,211,Virginia Tech,0
Matt Milano,LB,4,7/28/1994,72,223,Boston College,9
Michael Hoecht,LB,4,10/5/1997,76,267,Brown,5
Shaq Thompson,LB,4,4/21/1994,72,230,Washington,11
Terrel Bernard,LB,4,5/7/1999,73,224,Baylor,4
Reid Ferguson,LS,4,3/24/1994,74,235,LSU,9
Alec Anderson,OL,4,10/3/1999,77,305,UCLA,3
Chase Lundt,OL,4,6/16/2000,79,304,Connecticut,0
Connor McGovern,OL,4,11/3/1997,78,318,Penn State,7
David Edwards,OL,4,3/20/1997,78,308,Wisconsin,7
Dion Dawkins,OL,4,4/26/1994,77,320,Temple,9
Mike Edwards,OL,4,11/10/1998,77,363,Campbell University; Wake Forest,0
O'Cyrus Torrence,OL,4,1/20/2000,77,347,Florida; Louisiana-Lafayette,3
Richard Gouraige,OL,4,10/15/1998,77,306,Florida,1
Rush Reimer,OL,4,,,,,
Ryan Van Demark,OL,4,3/22/1998,78,307,Connecticut,3
Sedrick Van Pran-Granger,OL,4,10/23/2001,76,310,Georgia,2
Spencer Brown,OL,4,2/28/1998,80,311,Northern Iowa,5
Travis Clayton,OL,4,2/17/2001,79,301,,2
Tylan Grable,OL,4,10/4/1999,77,313,UCF; Jacksonville State,2
Josh Allen,QB,4,5/21/1996,77,237,Wyoming; Reedley,8
Mitchell Trubisky,QB,4,8/20/1994,74,222,North Carolina,9
Darrynton Evans,RB,4,7/9/1998,70,203,Appalachian State,5
Elijah Young,RB,4,,,,,
Frank Gore Jr.,RB,4,3/13/2002,68,201,Southern Mississippi,1
James Cook,RB,4,9/25/1999,71,190,Georgia,4
Jarveon Howard,RB,4,,,,,
Ray Davis,RB,4,11/20/1999,68,220,Kentucky; Vanderbilt; Temple,2
Reggie Gilliam,RB,4,8/20/1997,72,244,Toledo,6
Ty Johnson,RB,4,9/17/1997,70,210,Maryland,7
